1	0.00	0.00	8.94
2	2.31	0.00	8.64
3	2.00	-1.16	8.64
4	1.16	-2.00	8.64
5	0.00	-2.31	8.64
6	-1.16	-2.00	8.64
7	-2.00	-1.16	8.64
8	-2.31	0.00	8.64
9	-2.00	1.16	8.64
10	-1.16	2.00	8.64
11	0.00	2.31	8.64
12	1.16	2.00	8.64
13	2.00	1.16	8.64
14	4.47	0.00	7.74
15	4.32	-1.16	7.74
16	3.87	-2.24	7.74
17	3.16	-3.16	7.74
18	2.24	-3.87	7.74
19	1.16	-4.32	7.74
20	0.00	-4.47	7.74
21	-1.16	-4.32	7.74
22	-2.24	-3.87	7.74
23	-3.16	-3.16	7.74
24	-3.87	-2.24	7.74
25	-4.32	-1.16	7.74
26	-4.47	0.00	7.74
27	-4.32	1.16	7.74
28	-3.87	2.24	7.74
29	-3.16	3.16	7.74
30	-2.24	3.87	7.74
31	-1.16	4.32	7.74
32	0.00	4.47	7.74
33	1.16	4.32	7.74
34	2.24	3.87	7.74
35	3.16	3.16	7.74
36	3.87	2.24	7.74
37	4.32	1.16	7.74
38	5.75	0.00	6.85
39	5.55	-1.49	6.85
40	4.98	-2.87	6.85
41	4.06	-4.06	6.85
42	2.87	-4.98	6.85
43	1.49	-5.55	6.85
44	0.00	-5.75	6.85
45	-1.49	-5.55	6.85
46	-2.87	-4.98	6.85
47	-4.06	-4.06	6.85
48	-4.98	-2.87	6.85
49	-5.55	-1.49	6.85
50	-5.75	0.00	6.85
51	-5.55	1.49	6.85
52	-4.98	2.87	6.85
53	-4.06	4.06	6.85
54	-2.87	4.98	6.85
55	-1.49	5.55	6.85
56	0.00	5.75	6.85
57	1.49	5.55	6.85
58	2.87	4.98	6.85
59	4.06	4.06	6.85
60	4.98	2.87	6.85
61	5.55	1.49	6.85
62	7.32	0.00	5.13
63	7.07	-1.90	5.13
64	6.34	-3.66	5.13
65	5.18	-5.18	5.13
66	3.66	-6.34	5.13
67	1.90	-7.07	5.13
68	0.00	-7.32	5.13
69	-1.90	-7.07	5.13
70	-3.66	-6.34	5.13
71	-5.18	-5.18	5.13
72	-6.34	-3.66	5.13
73	-7.07	-1.90	5.13
74	-7.32	0.00	5.13
75	-7.07	1.90	5.13
76	-6.34	3.66	5.13
77	-5.18	5.18	5.13
78	-3.66	6.34	5.13
79	-1.90	7.07	5.13
80	0.00	7.32	5.13
81	1.90	7.07	5.13
82	3.66	6.34	5.13
83	5.18	5.18	5.13
84	6.34	3.66	5.13
85	7.07	1.90	5.13
86	8.64	0.00	2.31
87	8.34	-2.24	2.31
88	7.48	-4.32	2.31
89	6.11	-6.11	2.31
90	4.32	-7.48	2.31
91	2.24	-8.34	2.31
92	0.00	-8.64	2.31
93	-2.24	-8.34	2.31
94	-4.32	-7.48	2.31
95	-6.11	-6.11	2.31
96	-7.48	-4.32	2.31
97	-8.34	-2.24	2.31
98	-8.64	0.00	2.31
99	-8.34	2.24	2.31
100	-7.48	4.32	2.31
101	-6.11	6.11	2.31
102	-4.32	7.48	2.31
103	-2.24	8.34	2.31
104	0.00	8.64	2.31
105	2.24	8.34	2.31
106	4.32	7.48	2.31
107	6.11	6.11	2.31
108	7.48	4.32	2.31
109	8.34	2.24	2.31
110	8.91	0.00	0.78
111	8.60	-2.31	0.78
112	7.71	-4.45	0.78
113	6.30	-6.30	0.78
114	4.45	-7.71	0.78
115	2.31	-8.60	0.78
116	0.00	-8.91	0.78
117	-2.31	-8.60	0.78
118	-4.45	-7.71	0.78
119	-6.30	-6.30	0.78
120	-7.71	-4.45	0.78
121	-8.60	-2.31	0.78
122	-8.91	0.00	0.78
123	-8.60	2.31	0.78
124	-7.71	4.45	0.78
125	-6.30	6.30	0.78
126	-4.45	7.71	0.78
127	-2.31	8.60	0.78
128	0.00	8.91	0.78
129	2.31	8.60	0.78
130	4.45	7.71	0.78
131	6.30	6.30	0.78
132	7.71	4.45	0.78
133	8.60	2.31	0.78
134	8.91	0.00	-0.78
135	7.71	-4.45	-0.78
136	4.45	-7.71	-0.78
137	0.00	-8.91	-0.78
138	-4.45	-7.71	-0.78
139	-7.71	-4.45	-0.78
140	-8.91	0.00	-0.78
141	-7.71	4.45	-0.78
142	-4.45	7.71	-0.78
143	0.00	8.91	-0.78
144	4.45	7.71	-0.78
145	7.71	4.45	-0.78
146	8.64	0.00	-2.31
147	8.34	-2.24	-2.31
148	7.48	-4.32	-2.31
149	6.11	-6.11	-2.31
150	4.32	-7.48	-2.31
151	2.24	-8.34	-2.31
152	0.00	-8.64	-2.31
153	-2.24	-8.34	-2.31
154	-4.32	-7.48	-2.31
155	-6.11	-6.11	-2.31
156	-7.48	-4.32	-2.31
157	-8.34	-2.24	-2.31
158	-8.64	0.00	-2.31
159	-8.34	2.24	-2.31
160	-7.48	4.32	-2.31
161	-6.11	6.11	-2.31
162	-4.32	7.48	-2.31
163	-2.24	8.34	-2.31
164	0.00	8.64	-2.31
165	2.24	8.34	-2.31
166	4.32	7.48	-2.31
167	6.11	6.11	-2.31
168	7.48	4.32	-2.31
169	8.34	2.24	-2.31
